claim_type,doge_award_id,recipient,doge_value,doge_savings,doge_claim_date,doge_status,source_url,usaspending_found,generated_award_id,award_type,award_type_code,has_explicit_termination,termination_vacated,latest_action_date,latest_action_type,latest_description,current_obligation,current_end_date,recipient_address1,recipient_address2,recipient_city,recipient_state,recipient_zip,recipient_district,pop_city,pop_state,pop_zip,pop_district,total_potential_value,checked_date
grant,80NSSC24K0892,GEORGE MASON UNIVERSITY,529129,0,2025-03-21,,https://usaspending.gov/award/ASST_NON_80NSSC24K0892_8000,true,ASST_NON_80NSSC24K0892_080,grant,04,true,false,2025-08-14,D,Termination for convenience agreement - interdisciplinary research in Earth sciences support for science mission directorate (SMD/ESD),0.00,,4400 UNIVERSITY DR,,FAIRFAX,VA,22030,11,FAIRFAX,VA,22030,11,,2026-08-20
grant,80NSSC24K0944,"NATIONAL SOCIETY OF BLACK PHYSICISTS, INC.",299253,199502,2025-03-21,,https://usaspending.gov/award/ASST_NON_80NSSC24K0944_8000,true,ASST_NON_80NSSC24K0944_080,grant,04,true,false,2025-03-21,B,Termination for convenience agreement - topical workshops symposiums and conferences science mission directorate (smd/planetary),99751.00,2025-03-21,3033 WILSON BLVD STE 700,,ARLINGTON,VA,22201,08,ARLINGTON,VA,22201,08,,2026-08-20
grant,80NSSC24K1193,CORNELL UNIVERSITY,649598,389598,2025-03-21,,https://usaspending.gov/award/ASST_NON_80NSSC24K1193_8000,true,ASST_NON_80NSSC24K1193_080,grant,04,true,false,2025-09-25,D,Termination for convenience agreement - topical workshops symposiums and conferences science mission directorate (smd/planetary),95267.75,2025-03-21,341 PINE TREE RD,,ITHACA,NY,14850,19,ITHACA,NY,14850,19,,2026-08-20
grant,80NSSC24K1232,TRUSTEES OF TUFTS COLLEGE,489187,0,2025-03-21,,https://usaspending.gov/award/ASST_NON_80NSSC24K1232_8000,true,ASST_NON_80NSSC24K1232_080,grant,04,true,false,2025-08-12,D,23-pimove23-0018 environmental justice & public health: climate land & (HEALTH) outcome of dengue fever (CLOUD),169287.92,2025-03-21,169 HOLLAND ST,,SOMERVILLE,MA,02144,07,SOMERVILLE,MA,02144,07,,2026-08-20
grant,80NSSC24K1264,UNIVERSITY OF ALASKA FAIRBANKS,182619,0,2025-03-21,,https://usaspending.gov/award/ASST_NON_80NSSC24K1264_8000,true,ASST_NON_80NSSC24K1264_080,grant,04,true,false,2026-03-11,D,Bringing edia to the planetary sciences community: a two-day ag-style meeting of the cross-ag edia working group,4718.63,2025-03-21,2145 N TANANA LOOP,,FAIRBANKS,AK,99775,00,FAIRBANKS,AK,99775,00,,2026-08-20
grant,80NSSC24K1612,UNIVERSITY OF TEXAS AT AUSTIN,50000,0,2025-03-21,,https://usaspending.gov/award/ASST_NON_80NSSC24K1612_8000,true,ASST_NON_80NSSC24K1612_080,grant,04,true,false,2026-03-11,D,23-earth23-0422 climate harmony: studying and informing urban climate efforts in central texas through the.development of a regional climate atlas,31233.60,2025-03-21,110 INNER CAMPUS DR,,AUSTIN,TX,78712,25,AUSTIN,TX,78712,25,,2026-08-20
grant,80NSSC24K1845,"NATIONAL SOCIETY OF BLACK PHYSICISTS, INC.",774039,241961,2025-03-21,,https://usaspending.gov/award/ASST_NON_80NSSC24K1845_8000,true,ASST_NON_80NSSC24K1845_080,grant,04,true,false,2026-03-20,D,Nsbp/nshp: joint annual conferences 2024-26,299960.00,2025-03-21,2010 MASSACHUSETTS AVE NW STE 512,,WASHINGTON,DC,20036,98,WASHINGTON,DC,20036,98,,2026-08-20
grant,80NSSC25K7034,UNIVERSITY OF OKLAHOMA,277229,0,2025-03-21,,https://usaspending.gov/award/ASST_NON_80NSSC25K7034_8000,true,ASST_NON_80NSSC25K7034_080,grant,04,true,false,2025-08-15,D,Termination for convenience agreement - 23-eej23-0046 building co-design and co-learning digital twins against floods on tribal lands in support of indigenous communities,34613.83,2025-03-21,660 PARRINGTON OVAL RM 301,,NORMAN,OK,73019,04,NORMAN,OK,73019,04,,2026-08-20
grant,80NSSC25K7045,KUTZTOWN UNIVERSITY OF PENNSYLVANIA,374960,299968,2025-03-21,,https://usaspending.gov/award/ASST_NON_80NSSC25K7045_8000,true,ASST_NON_80NSSC25K7045_080,grant,04,true,false,2025-03-21,B,"Termination for convenience agreement - the kutztown university'S h2o+h2s ""here to observe + here to storytell"" program will use mission science and scientific storytelling as a student experiential learning tool to scaffold workforce skills. Each year the 10-12 student observer cohort will be composed of STEM and stem-interested freshmen sophomores and incoming transfer students from introductory courses. The program will focus on those students not typically served by outreach and engagement programs. Kutztown university has an established 'learning community' approach where a group of students is paired with faculty mentors and meet once a week as a part of their schedule. h2o+h2s will use this program so students are supported with a 1-credit course (1 hour per week) preserving dedicated time for the student observer to fulfill the program without disruption to their academic classes or overburdening schedules. The course will integrate the here to explore program activities with a student-created scientific narrative project based on sharing the mission science. The students observers will develop a short audio/video storytelling project about the NASA mission. Research shows that integrating storytelling or narrative techniques provides powerful access for students of diverse backgrounds to connect with science. Two students from previous cohorts will serve as peer mentors. Scaffolding experiences will include the nasa-led h2o activities fieldtrips professional meeting attendance and mentorship through-out the year. The h2o + h2s program focuses on creating products that articulate workforce skills on student resumes. This directly supports enhanced student success when applying for future internships graduate school and industry jobs.",74992.00,2025-03-21,15200 KUTZTOWN RD,,KUTZTOWN,PA,19530,04,KUTZTOWN,PA,19530,04,,2026-08-20
contract,,IMMIXTECHNOLOGY INC,38454.11,38454.11,2025-03-20,NOT FOUND IN FPDS,,false,,,,false,false,,,,,,,,,,,,,,,,,2026-09-06
contract,80GRC020F0111,"HX5,, LLC",1513111,1513111,2025-03-20,FUNDING ONLY ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80GRC020F0111&modNumber=P00028&idvAgencyID=&idvPIID=80GRC020D0003&contractType=AWARD,true,CONT_AWD_80GRC020F0111_8000_80GRC020D0003_8000,contract,C,false,false,2026-06-11,B,eo14042..to-0033 superconducting motor components & test devices,2419150.89,2026-12-31,212 EGLIN PKWY SE,STE A,FORT WALTON BEACH,FL,32548,01,CLEVELAND,OH,44135,11,2579784.59,2026-09-03
contract,80GRC020F0115,"HX5,, LLC",1771458,1771458,2025-03-20,FUNDING ONLY ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80GRC020F0115&modNumber=P00033&idvAgencyID=&idvPIID=80GRC020D0003&contractType=AWARD,true,CONT_AWD_80GRC020F0115_8000_80GRC020D0003_8000,contract,C,false,false,2026-08-20,B,eo14042 .to-0173 . Electric drive test support and technical communication .,2468177.14,2027-03-31,212 EGLIN PKWY SE,STE A,FORT WALTON BEACH,FL,32548,01,CLEVELAND,OH,44135,11,2727917.06,2026-09-03
contract,80GRC020F0118,"HX5,, LLC",1877126,1877126,2025-03-20,FUNDING ONLY ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80GRC020F0118&modNumber=P00017&idvAgencyID=&idvPIID=80GRC020D0003&contractType=AWARD,true,CONT_AWD_80GRC020F0118_8000_80GRC020D0003_8000,contract,C,false,false,2025-07-08,C,To-0138 lpr fan test hardware support,2125591.44,2026-09-30,212 EGLIN PKWY SE,STE A,FORT WALTON BEACH,FL,32548,01,CLEVELAND,OH,44135,11,2125603.45,2026-09-03
contract,80GRC021F0111,"HX5,, LLC",148680,148680,2025-03-20,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80GRC021F0111&modNumber=P00005&idvAgencyID=&idvPIID=80GRC020D0003&contractType=AWARD,true,CONT_AWD_80GRC021F0111_8000_80GRC020D0003_8000,contract,C,false,false,2026-08-31,C,To-0315 advanced seal development 4,769519.76,2027-03-31,212 EGLIN PKWY SE,STE A,FORT WALTON BEACH,FL,32548,01,CLEVELAND,OH,44135,11,772193.84,2026-09-03
contract,80GRC022F0189,"HX5,, LLC",806334,806334,2025-03-20,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80GRC022F0189&modNumber=P00018&idvAgencyID=&idvPIID=80GRC020D0003&contractType=AWARD,true,CONT_AWD_80GRC022F0189_8000_80GRC020D0003_8000,contract,C,false,false,2026-05-21,C,To-0385 prototype manufacturing of a Motor for Dusty & Extremely Cold Environments (MDECE),873990.51,2026-12-31,212 EGLIN PKWY SE,STE A,FORT WALTON BEACH,FL,32548,01,CLEVELAND,OH,44135,11,913351.75,2026-09-03
contract,80GSFC23CA041,AUTONOMIC INTEGRA LLC,8389628,21134122,2025-03-20,FUNDING ONLY ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80GSFC23CA041&modNumber=P00023&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80GSFC23CA041_8000_-NONE-_-NONE-,contract,D,true,false,2026-06-12,C,Funding only - the Climate Change Research Initiative (CCRI) under the Goddard Institute for Space Studies (GISS) contract for the Earth sciences directorate.,14272022.47,2027-02-28,"101 LAKEFOREST BLVD, STE 375",,GAITHERSBURG,MD,20877,06,NEW YORK,NY,10025,13,21134122.31,2026-08-20
contract,80HQTR21F0124,"OVERLOOK SYSTEMS TECHNOLOGIES, INC.",3449904,4390932,2025-03-20,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80HQTR21F0124&modNumber=P00022&idvAgencyID=&idvPIID=GS10F0100T&contractType=AWARD,true,CONT_AWD_80HQTR21F0124_8000_GS10F0100T_4730,contract,C,true,false,2025-03-17,M,Stop work notice issued with notification of intent to terminate for convenience - Policy And Strategic Communications (PSC) support for NASA Space Communications And Navigation (SCAN) program.,2472244.00,2025-02-13,1950 OLD GALLOWS RD,,VIENNA,VA,22182,11,VIENNA,VA,22182,11,4390931.61,2026-08-20
contract,80HQTR23FA018,DELOITTE CONSULTING LLP,659225.96,0,2025-03-20,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80HQTR23FA018&modNumber=P00002&idvAgencyID=&idvPIID=80HQTR22AA005&contractType=AWARD,true,CONT_AWD_80HQTR23FA018_8000_80HQTR22AA005_8000,contract,A,false,false,2025-02-07,B,"Contractor shall support various types of evidence-building & evaluation activities such as documentation, presentations, analyses, & products related to: annual evaluation plans, omb circular a-11 compliance & other evidence-building requirements.",659225.96,2025-07-31,1919 N LYNN ST,,ARLINGTON,VA,22209,08,ARLINGTON,VA,22209,08,659225.96,2026-08-20
contract,80HQTR24F0046,BARRIOS TECHNOLOGY LTD,261854,261854,2025-03-20,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80HQTR24F0046&modNumber=P00002&idvAgencyID=&idvPIID=80MSFC21D0009&contractType=AWARD,true,CONT_AWD_80HQTR24F0046_8000_80MSFC21D0009_8000,contract,C,true,false,2025-03-13,M,"Stop work notice issued with notification of intent to terminate for convenience - strategic planning, analysis, and programmatic support for.planetary sciences division.hq science mission directorate",226082.84,2025-01-22,13100 SPACE CENTER BLVD,STE 650,HOUSTON,TX,77059,36,HOUSTON,TX,77059,36,261854.32,2026-08-20
contract,80HQTR24F0064,BARRIOS TECHNOLOGY LTD,129377,129377,2025-03-20,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80HQTR24F0064&modNumber=P00003&idvAgencyID=&idvPIID=80MSFC21D0009&contractType=AWARD,true,CONT_AWD_80HQTR24F0064_8000_80MSFC21D0009_8000,contract,C,true,false,2025-03-21,M,Stop work notice issued with notification of intent to terminate for convenience - msd risk management,129377.08,2025-03-21,13100 SPACE CENTER BLVD,STE 650,HOUSTON,TX,77059,36,HOUSTON,TX,77059,36,129377.08,2026-08-20
contract,80HQTR24F0070,BARRIOS TECHNOLOGY LTD,122313,122313,2025-03-20,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80HQTR24F0070&modNumber=P00001&idvAgencyID=&idvPIID=80MSFC21D0009&contractType=AWARD,true,CONT_AWD_80HQTR24F0070_8000_80MSFC21D0009_8000,contract,C,true,false,2025-03-13,M,"Stop work notice issued with notification of intent to terminate for convenience- odeo mission support enterprise offices. Supporting the civil rights complaint process, adjudication procedures, compliance activities, a civil rights compliance.",112312.76,2025-01-22,13100 SPACE CENTER BLVD,STE 650,HOUSTON,TX,77059,36,HOUSTON,TX,77059,36,122312.76,2026-08-20
contract,80HQTR24F0071,BARRIOS TECHNOLOGY LTD,82838,82838,2025-03-20,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80HQTR24F0071&modNumber=P00001&idvAgencyID=&idvPIID=80MSFC21D0009&contractType=AWARD,true,CONT_AWD_80HQTR24F0071_8000_80MSFC21D0009_8000,contract,C,true,false,2025-03-13,M,Stop work notice issued with notification of intent to terminate for convenience-odeo mission support enterprise offices. ..leveraging the expertise of an ..administrative operations specialist.,82838.19,2025-01-22,13100 SPACE CENTER BLVD,STE 650,HOUSTON,TX,77059,36,HOUSTON,TX,77059,36,82838.19,2026-08-20
contract,80HQTR24F0073,BARRIOS TECHNOLOGY LTD,74497,74497,2025-03-20,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80HQTR24F0073&modNumber=P00001&idvAgencyID=&idvPIID=80MSFC21D0009&contractType=AWARD,true,CONT_AWD_80HQTR24F0073_8000_80MSFC21D0009_8000,contract,C,true,false,2025-03-21,M,Stop work notice issued with notification of intent to terminate for convenience - esdmd integration and administrative support.,74496.90,2025-03-21,13100 SPACE CENTER BLVD,STE 650,HOUSTON,TX,77059,36,HOUSTON,TX,77059,36,74496.90,2026-08-20
contract,80HQTR24F0074,BARRIOS TECHNOLOGY LTD,82838,82838,2025-03-20,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80HQTR24F0074&modNumber=P00001&idvAgencyID=&idvPIID=80MSFC21D0009&contractType=AWARD,true,CONT_AWD_80HQTR24F0074_8000_80MSFC21D0009_8000,contract,C,true,false,2025-03-13,M,Stop work notice issued with notification of intent to terminate for convenience- odeo mission support enterprise offices. Will be responsible for overseeing and managing the successful execution of the following special projects:,82838.19,2025-01-22,13100 SPACE CENTER BLVD,STE 650,HOUSTON,TX,77059,36,HOUSTON,TX,77059,36,82838.19,2026-08-20
contract,80HQTR24FA019,GUIDEHOUSE INC.,1972900,639900,2025-03-20,FUNDING ONLY ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80HQTR24FA019&modNumber=P00013&idvAgencyID=&idvPIID=80HQTR24AA002&contractType=AWARD,true,CONT_AWD_80HQTR24FA019_8000_80HQTR24AA002_8000,contract,A,false,false,2025-08-11,C,"The contractor shall provide services related to an integrated approach to conducting annual assessments of nasas management controls, internal control over financial reporting, fraud risk management framework and payment integrity.",1831560.00,2025-11-30,1676 INTERNATIONAL DR STE 800,,MC LEAN,VA,22102,11,WASHINGTON,DC,20546,98,1831560.00,2026-08-20
contract,80HQTR25FA007,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,865076.75,0,2025-03-20,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80HQTR25FA007&modNumber=P00003&idvAgencyID=&idvPIID=80HQTR24AA005&contractType=AWARD,true,CONT_AWD_80HQTR25FA007_8000_80HQTR24AA005_8000,contract,A,true,false,2025-03-14,M,"Stop work notice issued with notification of intent to terminate for convience - review, validate, and advise on draft plan, messaging and branding of the plan, plan implementation analysis and recommendations, rollout & metrics",865076.75,2025-02-14,"12010, SUNSET HILLS ROAD",,RESTON,VA,20190,11,RESTON,VA,20190,11,865076.75,2026-08-20
contract,80HQTR25FA019,DELOITTE CONSULTING LLP,130791.8,0,2025-03-20,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80HQTR25FA019&modNumber=0&idvAgencyID=&idvPIID=80HQTR22AA005&contractType=AWARD,true,CONT_AWD_80HQTR25FA019_8000_80HQTR22AA005_8000,contract,A,false,false,2026-06-25,C,"Provide tech editing & white glove reviews of congressional justification & related materials, results in production of comprehensive cj final products for internal & external stakeholders. Execute & gest improvements to budget formulation process",90488.46,2025-08-11,1919 N LYNN ST,,ARLINGTON,VA,22209,08,WASHINGTON,DC,20546,98,130791.80,2026-08-20
contract,80JSC024FA083,BOOZ ALLEN HAMILTON INC,3307451,0,2025-03-20,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80JSC024FA083&modNumber=P00002&idvAgencyID=&idvPIID=80JSC023AA001&contractType=AWARD,true,CONT_AWD_80JSC024FA083_8000_80JSC023AA001_8000,contract,A,true,false,2025-01-24,F,Termination for convenience agreement - speacii - task order 84 - NASA odeo deia data analytics and assessment,1923416.00,2025-01-22,8283 GREENSBORO DR,,MC LEAN,VA,22102,11,HOUSTON,TX,77058,36,1923416.00,2026-08-20
contract,80JSC024FA088,BOOZ ALLEN HAMILTON INC,442470,0,2025-03-20,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80JSC024FA088&modNumber=0&idvAgencyID=&idvPIID=80JSC023AA001&contractType=AWARD,true,CONT_AWD_80JSC024FA088_8000_80JSC023AA001_8000,contract,A,false,false,2024-03-13,,Speacii - task order 87 base - astrophysics data archives assessment,442470.00,2025-03-13,8283 GREENSBORO DR,,MC LEAN,VA,22102,11,HOUSTON,TX,77058,36,442470.00,2026-08-20
contract,80JSC024FA120,BOOZ ALLEN HAMILTON INC,886588,0,2025-03-20,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80JSC024FA120&modNumber=P00003&idvAgencyID=&idvPIID=80JSC023AA001&contractType=AWARD,true,CONT_AWD_80JSC024FA120_8000_80JSC023AA001_8000,contract,A,false,false,2025-02-25,A,Strategic professional engineering assessment contract ii (SPEAC II). Task order 99 - office of the chief science data officer assessment,857617.00,2025-05-21,8283 GREENSBORO DR,,MC LEAN,VA,22102,11,HOUSTON,TX,77058,36,857617.00,2026-08-20
contract,80JSC024FA135,BOOZ ALLEN HAMILTON INC,935898,0,2025-03-20,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80JSC024FA135&modNumber=P00002&idvAgencyID=&idvPIID=80JSC023AA001&contractType=AWARD,true,CONT_AWD_80JSC024FA135_8000_80JSC023AA001_8000,contract,A,true,false,2025-01-27,F,Stop work notice issued with notification of intent to terminate for convenience terminated iaw eo 14151-strategic professional engineering assessment contract ii (SPEAC II),701923.00,2025-01-22,8283 GREENSBORO DR,,MC LEAN,VA,22102,11,HOUSTON,TX,77058,36,701923.00,2026-08-20
contract,80JSC025FA015,BOOZ ALLEN HAMILTON INC,1000910,0,2025-03-20,"ADDITIONAL WORK (NEW AGREEMENT, JUSTIFICATION REQUIRED)",https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80JSC025FA015&modNumber=P00002&idvAgencyID=&idvPIID=80JSC023AA001&contractType=AWARD,true,CONT_AWD_80JSC025FA015_8000_80JSC023AA001_8000,contract,A,false,false,2026-03-19,A,Task order 126 modification p00003 - Game Changing Development (GCD) program data management and Game Changing Development (GCD) tool support,1986458.00,2026-10-31,8283 GREENSBORO DR,,MC LEAN,VA,22102,11,HOUSTON,TX,77058,36,1986458.00,2026-09-03
contract,80KSC019F0128,"HYDROGEOLOGIC, INC.",154681,154681,2025-03-20,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80KSC019F0128&modNumber=P00010&idvAgencyID=&idvPIID=80KSC019D0012&contractType=AWARD,true,CONT_AWD_80KSC019F0128_8000_80KSC019D0012_8000,contract,C,false,false,2025-04-17,M,"De-scope action - remediation team meetings at kennedy space center, florida",151868.35,2025-03-18,11107 SUNSET HILLS RD STE 400,,RESTON,VA,20190,11,ORLANDO,FL,32899,08,151868.35,2026-08-20
contract,80KSC020F0077,"NOREAS, INC.",2643830,2643830,2025-03-20,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80KSC020F0077&modNumber=P00008&idvAgencyID=&idvPIID=GS00F373GA&contractType=AWARD,true,CONT_AWD_80KSC020F0077_8000_GS00F373GA_4732,contract,C,false,false,2025-04-22,M,De-scope action - environmental consulting services,2594431.77,2025-07-31,16361 SCIENTIFIC,,IRVINE,CA,92618,47,ORLANDO,FL,32899,08,2594431.77,2026-08-20
contract,80NSSC23FA267,"REI SYSTEMS, INC.",2044759,5437168,2025-03-20,OTHER ADMINISTRATIVE ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC23FA267&modNumber=P00005&idvAgencyID=&idvPIID=80NSSC23AA003&contractType=AWARD,true,CONT_AWD_80NSSC23FA267_8000_80NSSC23AA003_8000,contract,A,false,false,2026-03-31,G,De-scope action -call order 1 under esip support services multiple award bpas for esip advisory services for space technology mission directorate,3978520.18,2027-03-31,14325 WILLARD RD,STE 200,CHANTILLY,VA,20151,11,CHANTILLY,VA,20151,11,5161407.54,2026-09-03
contract,80NSSC23PA010,BUSINESS CLASS AVIATION INC.,38680,96700,2025-03-20,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC23PA010&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80NSSC23PA010_8000_-NONE-_-NONE-,contract,B,true,false,2025-04-08,F,Terminate for convenience of agreement-dc-8 and SOFIA aircraft storage and parts removal,0.00,2025-04-08,7472 CYPRESS AVE,,ROSAMOND,CA,93560,20,ROSAMOND,CA,93560,20,0.00,2026-08-20
contract,80NSSC24FA260,"IMMIXTECHNOLOGY, INC.",38454,38454,2025-03-20,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24FA260&modNumber=0&idvAgencyID=&idvPIID=NNG15SC39B&contractType=AWARD,true,CONT_AWD_80NSSC24FA260_8000_NNG15SC39B_8000,contract,C,false,false,2024-02-05,,Digimat maintenance renewal,38454.11,2025-02-28,8444 WESTPARK DR STE 200,,MCLEAN,VA,22102,11,MCLEAN,VA,22102,11,38454.11,2026-08-20
contract,80NSSC24PA710,"EMP CONSULTANTS, LLC",45960,45960,2025-03-20,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24PA710&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80NSSC24PA710_8000_-NONE-_-NONE-,contract,B,true,false,2025-03-17,F,Termination for convenience agreement - novice license renewal,45960.00,2025-04-30,10 TRIPLE CROWN CT,,NORTH POTOMAC,MD,20878,08,NORTH POTOMAC,MD,20878,08,45960.00,2026-08-20
contract,80NSSC24PA753,KEYSIGHT TECHNOLOGIES INC,33663,33663,2025-03-20,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24PA753&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80NSSC24PA753_8000_-NONE-_-NONE-,contract,B,true,false,2025-03-19,F,Termination for convenience agreement ---- license maintenance for genesys,33662.52,2025-03-19,1900 GARDEN OF THE GODS RD,,COLORADO SPRINGS,CO,80907,05,COLORADO SPRINGS,CO,80907,05,33662.52,2026-08-20
contract,80NSSC24PA923,KEYSIGHT TECHNOLOGIES INC,10153,10153,2025-03-20,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24PA923&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80NSSC24PA923_8000_-NONE-_-NONE-,contract,B,true,false,2025-03-17,F,Termination for convenience agreement - renew software license for ads,10152.96,2025-03-17,1900 GARDEN OF THE GODS RD,,COLORADO SPRINGS,CO,80907,05,COLORADO SPRINGS,CO,80907,05,10152.96,2026-08-20
contract,80NSSC24PB679,"GARTNER, INC.",194382,194382,2025-03-20,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24PB679&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80NSSC24PB679_8000_-NONE-_-NONE-,contract,B,true,false,2025-04-30,M,"Termination for convenience agreement --NASA human capital and learning & development advisory, research and benchmarking services.",194382.00,2025-12-31,56 TOP GALLANT RD,,STAMFORD,CT,06902,04,STAMFORD,CT,06902,04,194382.00,2026-08-20
contract,80NSSC24PC049,SOCIETY OF WOMEN ENGINEERS,33100,33100,2025-03-20,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24PC049&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80NSSC24PC049_8000_-NONE-_-NONE-,contract,B,true,false,2025-03-06,F,Termination for convenience agreement - Society of Women Engineers (SWE) corporate partnership council and participation in associated recruiting events,33100.00,2025-03-06,130 E RANDOLPH STREET 3500,,CHICAGO,IL,60601,07,CHICAGO,IL,60601,07,33100.00,2026-08-20
contract,80NSSC24PC367,HARBEC INC,105768,0,2025-03-20,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24PC367&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80NSSC24PC367_8000_-NONE-_-NONE-,contract,B,false,false,2025-02-11,M,"104 end caps, 104 end cap sleeves",105768.00,2025-02-28,358 TIMOTHY LN,,ONTARIO,NY,14519,24,ONTARIO,NY,14519,24,105768.00,2026-08-20
contract,80NSSC24PC405,"LEIDOS, INC.",21417.67,0,2025-03-20,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24PC405&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80NSSC24PC405_8000_-NONE-_-NONE-,contract,B,false,false,2024-09-25,M,fy24 verint annual maintenance & support coverage standard plan,0.00,2024-09-25,1750 PRESIDENTS ST FL 10,,RESTON,VA,20190,11,RESTON,VA,20190,11,0.00,2026-08-20
contract,80NSSC25FA145,"B/W COLOR PRINTS, LLC",10771,0,2025-03-20,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC25FA145&modNumber=P00001&idvAgencyID=&idvPIID=GS07F216BA&contractType=AWARD,true,CONT_AWD_80NSSC25FA145_8000_GS07F216BA_4732,contract,C,true,false,2025-03-25,M,Stop work notice issued - service for installation of the science on the sphere system,10771.00,2025-03-31,8325 OLD MARLBORO PIKE,STE A9,UPPER MARLBORO,MD,20772,05,UPPER MARLBORO,MD,20772,05,10771.00,2026-08-20
contract,80NSSC24PA723,"POLITICO, LLC",202600,0,2025-03-19,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24PA723&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80NSSC24PA723_8000_-NONE-_-NONE-,contract,B,true,false,2025-02-18,F,Termination for convenience agreement - renewal for politico pro service for olia,202600.00,2025-02-18,1000 WILSON BLVD FL 8,,ARLINGTON,VA,22209,08,ARLINGTON,VA,22209,08,202600.00,2026-08-20
