Award ID,Generated Award ID,Auto Status,Confidence,Verified Date,Evidence,Signals,Termination Mod,Termination Date,Latest Mod,Latest Mod Date,Post-Term Obligations,Transaction Count,Disagrees With Human,Last Attempt Date,Last Success Date,Attempt Count,Last Error
80JSC024FA088,CONT_AWD_80JSC024FA088_8000_80JSC023AA001_8000,naturally_expired,low,2026-07-30,No termination action in 1 transactions; period of performance ended 2025-03-13.,term=none;end=2025-03-13;n=1,,,0,2024-03-13,,1,,2026-07-30,2026-07-30,0,
80JSC024FA120,CONT_AWD_80JSC024FA120_8000_80JSC023AA001_8000,naturally_expired,low,2026-07-30,No termination action in 4 transactions; period of performance ended 2025-05-21.,term=none;end=2025-05-21;n=4,,,P00003,2025-02-25,,4,,2026-07-30,2026-07-30,0,
80JSC024FA135,CONT_AWD_80JSC024FA135_8000_80JSC023AA001_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00002 2025-01-27); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00002 2025-01-27;term_mod=P00002;term_date=2025-01-27;post_n=0;post_obl=0.00;post_pos=0;n=3,P00002,2025-01-27,P00002,2025-01-27,0.00,3,,2026-07-30,2026-07-30,0,
80JSC024FA190,CONT_AWD_80JSC024FA190_8000_80JSC023DA011_8000,naturally_expired,low,2026-07-30,No termination action in 5 transactions; period of performance ended 2025-06-30.,term=none;end=2025-06-30;n=5,,,P00004,2025-06-25,,5,,2026-07-30,2026-07-30,0,
80JSC025FA015,CONT_AWD_80JSC025FA015_8000_80JSC023AA001_8000,no_termination_signal,low,2026-07-30,No termination action found in 4 transactions.,term=none;n=4,,,P00003,2026-03-19,,4,,2026-07-30,2026-07-30,0,
80JSC025FA076,CONT_AWD_80JSC025FA076_8000_80JSC024AA029_8000,continued,high,2026-07-30,"Award received new obligations after termination (M P00004 2025-02-24): +$141,233.34 on G P00017 2026-07-15 per USAspending transactions.",term=M P00004 2025-02-24;term_mod=P00004;term_date=2025-02-24;post_n=13;post_obl=1095843.46;post_pos=12;n=18;continued=G P00017 2026-07-15,P00004,2025-02-24,P00017,2026-07-15,1095843.46,18,,2026-07-30,2026-07-30,0,
80JSC025FA077,CONT_AWD_80JSC025FA077_8000_80JSC024AA029_8000,continued,high,2026-07-30,"Award received new obligations after termination (M P00003 2025-02-18): +$9,485.75 on B POOO23 2026-04-01 per USAspending transactions.",term=M P00003 2025-02-18;term_mod=P00003;term_date=2025-02-18;post_n=24;post_obl=577147.75;post_pos=11;n=27;continued=B POOO23 2026-04-01,P00003,2025-02-18,P00026,2026-07-15,577147.75,27,,2026-07-30,2026-07-30,0,
80KSC019C0013,CONT_AWD_80KSC019C0013_8000_-NONE-_-NONE-,still_terminated,low,2026-07-30,"Terminated for convenience (F P00180 2026-05-06); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00180 2026-05-06;term_mod=P00180;term_date=2026-05-06;post_n=0;post_obl=0.00;post_pos=0;n=181,P00180,2026-05-06,P00180,2026-05-06,0.00,181,,2026-07-30,2026-07-30,0,
80KSC019F0128,CONT_AWD_80KSC019F0128_8000_80KSC019D0012_8000,naturally_expired,low,2026-07-30,No termination action in 11 transactions; period of performance ended 2025-03-18.,term=none;end=2025-03-18;n=11,,,P00010,2025-04-17,,11,,2026-07-30,2026-07-30,0,
80KSC020C0012,CONT_AWD_80KSC020C0012_8000_-NONE-_-NONE-,no_termination_signal,low,2026-07-30,No termination action found in 33 transactions.,term=none;n=33,,,P00032,2026-06-15,,33,still_terminated,2026-07-30,2026-07-30,0,
80KSC020D0016,CONT_IDV_80KSC020D0016_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00007 2025-04-08); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00007 2025-04-08;term_mod=P00007;term_date=2025-04-08;post_n=0;post_obl=0.00;post_pos=0;n=8,P00007,2025-04-08,P00007,2025-04-08,0.00,8,,2026-07-30,2026-07-30,0,
80KSC020D0018,CONT_IDV_80KSC020D0018_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00009 2025-04-08); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00009 2025-04-08;term_mod=P00009;term_date=2025-04-08;post_n=0;post_obl=0.00;post_pos=0;n=10,P00009,2025-04-08,P00009,2025-04-08,0.00,10,,2026-07-30,2026-07-30,0,
80KSC020F0042,CONT_AWD_80KSC020F0042_8000_80KSC019D0011_8000,naturally_expired,low,2026-07-30,No termination action in 11 transactions; period of performance ended 2026-06-30.,term=none;end=2026-06-30;n=11,,,P00010,2026-05-19,,11,,2026-07-30,2026-07-30,0,
80KSC020F0077,CONT_AWD_80KSC020F0077_8000_GS00F373GA_4732,naturally_expired,low,2026-07-30,No termination action in 9 transactions; period of performance ended 2025-07-31.,term=none;end=2025-07-31;n=9,,,P00008,2025-04-22,,9,,2026-07-30,2026-07-30,0,
80KSC020F0179,CONT_AWD_80KSC020F0179_8000_GS00P15BSD1124_4740,naturally_expired,low,2026-07-30,No termination action in 47 transactions; period of performance ended 2025-03-31.,term=none;end=2025-03-31;n=47,,,P00046,2025-09-05,,47,,2026-07-30,2026-07-30,0,
80KSC021A0007,CONT_IDV_80KSC021A0007_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00006 2025-03-21); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00006 2025-03-21;term_mod=P00006;term_date=2025-03-21;post_n=0;post_obl=0.00;post_pos=0;n=7,P00006,2025-03-21,P00006,2025-03-21,0.00,7,,2026-07-30,2026-07-30,0,
80KSC024F0043,CONT_AWD_80KSC024F0043_8000_80KSC021A0007_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00003 2025-03-21); no rescission, closeout, or new obligations in 1 later transactions.",term=M P00003 2025-03-21;term_mod=P00003;term_date=2025-03-21;post_n=1;post_obl=-82326.00;post_pos=0;n=5,P00003,2025-03-21,P00004,2025-04-10,-82326.00,5,,2026-07-30,2026-07-30,0,
80KSC024F0044,CONT_AWD_80KSC024F0044_8000_80KSC021A0007_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00001 2025-03-21); no rescission, closeout, or new obligations in 1 later transactions.",term=M P00001 2025-03-21;term_mod=P00001;term_date=2025-03-21;post_n=1;post_obl=-46330.90;post_pos=0;n=3,P00001,2025-03-21,P00002,2025-04-10,-46330.90,3,,2026-07-30,2026-07-30,0,
80KSC024F0045,CONT_AWD_80KSC024F0045_8000_80KSC021A0007_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00001 2025-03-21); no rescission, closeout, or new obligations in 1 later transactions.",term=M P00001 2025-03-21;term_mod=P00001;term_date=2025-03-21;post_n=1;post_obl=-23121.00;post_pos=0;n=3,P00001,2025-03-21,P00002,2025-04-22,-23121.00,3,,2026-07-30,2026-07-30,0,
80KSC025FA049,CONT_AWD_80KSC025FA049_8000_80KSC022DA114_8000,naturally_expired,low,2026-07-30,No termination action in 3 transactions; period of performance ended 2026-07-10.,term=none;end=2026-07-10;n=3,,,P00002,2026-07-06,,3,,2026-07-30,2026-07-30,0,
80LARC17C0001,CONT_AWD_80LARC17C0001_8000_-NONE-_-NONE-,naturally_expired,low,2026-07-30,No termination action in 33 transactions; period of performance ended 2024-09-30.,term=none;end=2024-09-30;n=33,,,P00032,2025-09-02,,33,,2026-07-30,2026-07-30,0,
80LARC19F0127,CONT_AWD_80LARC19F0127_8000_80LARC18C0003_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00003 2023-11-29); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00003 2023-11-29;term_mod=P00003;term_date=2023-11-29;post_n=0;post_obl=0.00;post_pos=0;n=4,P00003,2023-11-29,P00003,2023-11-29,0.00,4,,2026-07-30,2026-07-30,0,
80LARC21F0083,CONT_AWD_80LARC21F0083_8000_80LARC20D0007_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00006 2025-04-08); no rescission, closeout, or new obligations in 1 later transactions.",term=M P00006 2025-04-08;term_mod=P00006;term_date=2025-04-08;post_n=1;post_obl=0.00;post_pos=0;n=8,P00006,2025-04-08,P00007,2025-08-04,0.00,8,,2026-07-30,2026-07-30,0,
80LARC21F0153,CONT_AWD_80LARC21F0153_8000_80LARC20D0007_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00006 2025-04-08); no rescission, closeout, or new obligations in 1 later transactions.",term=M P00006 2025-04-08;term_mod=P00006;term_date=2025-04-08;post_n=1;post_obl=-18620.00;post_pos=0;n=8,P00006,2025-04-08,P00007,2025-09-22,-18620.00,8,,2026-07-30,2026-07-30,0,
80LARC22FA010,CONT_AWD_80LARC22FA010_8000_80LARC21AA012_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00001 2022-05-24); no rescission, closeout, or new obligations in 1 later transactions.",term=F P00001 2022-05-24;term_mod=P00001;term_date=2022-05-24;post_n=1;post_obl=0.00;post_pos=0;n=3,P00001,2022-05-24,P00002,2022-05-27,0.00,3,,2026-07-30,2026-07-30,0,
80LARC24F0039,CONT_AWD_80LARC24F0039_8000_80GSFC19D0011_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00002 2026-03-17); no rescission, closeout, or new obligations in 0 later transactions.",term=M P00002 2026-03-17;term_mod=P00002;term_date=2026-03-17;post_n=0;post_obl=0.00;post_pos=0;n=3,P00002,2026-03-17,P00002,2026-03-17,0.00,3,,2026-07-30,2026-07-30,0,
80LARC25C0002,CONT_AWD_80LARC25C0002_8000_-NONE-_-NONE-,naturally_expired,low,2026-07-30,No termination action in 5 transactions; period of performance ended 2025-09-30.,term=none;end=2025-09-30;n=5,,,P00004,2026-05-01,,5,,2026-07-30,2026-07-30,0,
80LARC25F7003,CONT_AWD_80LARC25F7003_8000_80GSFC19D0011_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00002 2026-03-17); no rescission, closeout, or new obligations in 0 later transactions.",term=M P00002 2026-03-17;term_mod=P00002;term_date=2026-03-17;post_n=0;post_obl=0.00;post_pos=0;n=3,P00002,2026-03-17,P00002,2026-03-17,0.00,3,,2026-07-30,2026-07-30,0,
80LARC25F7010,CONT_AWD_80LARC25F7010_8000_80LARC18C0001_8000,naturally_expired,low,2026-07-30,No termination action in 6 transactions; period of performance ended 2026-03-31.,term=none;end=2026-03-31;n=6,,,P00005,2026-05-21,,6,,2026-07-30,2026-07-30,0,
80LARC25F7011,CONT_AWD_80LARC25F7011_8000_80LARC20D0007_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00003 2025-04-08); no rescission, closeout, or new obligations in 0 later transactions.",term=M P00003 2025-04-08;term_mod=P00003;term_date=2025-04-08;post_n=0;post_obl=0.00;post_pos=0;n=4,P00003,2025-04-08,P00003,2025-04-08,0.00,4,,2026-07-30,2026-07-30,0,
80LARC25P0002,CONT_AWD_80LARC25P0002_8000_-NONE-_-NONE-,naturally_expired,low,2026-07-30,No termination action in 2 transactions; period of performance ended 2025-12-04.,term=none;end=2025-12-04;n=2,,,P00001,2025-12-04,,2,,2026-07-30,2026-07-30,0,
80LARC26F7025,CONT_AWD_80LARC26F7025_8000_80GSFC19D0011_8000,no_termination_signal,low,2026-07-30,No termination action found in 1 transactions.,term=none;n=1,,,0,2026-05-12,,1,,2026-07-30,2026-07-30,0,
80MSFC19C0042,CONT_AWD_80MSFC19C0042_8000_-NONE-_-NONE-,naturally_expired,low,2026-07-30,No termination action in 46 transactions; period of performance ended 2025-09-30.,term=none;end=2025-09-30;n=46,,,P00045,2025-09-26,,46,,2026-07-30,2026-07-30,0,
80MSFC20C0050,CONT_AWD_80MSFC20C0050_8000_-NONE-_-NONE-,descoped,high,2026-07-30,Partial de-scope rather than full termination (M P00011 2025-02-07) per USAspending transactions.,term=M P00011 2025-02-07;term_mod=P00011;term_date=2025-02-07;post_n=1;post_obl=-63547.48;post_pos=0;n=13;descope=1,P00011,2025-02-07,P00012,2025-04-28,-63547.48,13,,2026-07-30,2026-07-30,0,
80MSFC21C0010,CONT_AWD_80MSFC21C0010_8000_-NONE-_-NONE-,still_terminated,low,2026-07-30,"Terminated for convenience (F P00042 2025-09-30); no rescission, closeout, or new obligations in 1 later transactions.",term=F P00042 2025-09-30;term_mod=P00042;term_date=2025-09-30;post_n=1;post_obl=-5500000.00;post_pos=0;n=44,P00042,2025-09-30,P00043,2026-07-14,-5500000.00,44,,2026-07-30,2026-07-30,0,
80MSFC21CA001,CONT_AWD_80MSFC21CA001_8000_-NONE-_-NONE-,still_terminated,low,2026-07-30,"Terminated for convenience (F P00019 2026-04-03); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00019 2026-04-03;term_mod=P00019;term_date=2026-04-03;post_n=0;post_obl=0.00;post_pos=0;n=20,P00019,2026-04-03,P00019,2026-04-03,0.00,20,,2026-07-30,2026-07-30,0,
80MSFC22CA005,CONT_AWD_80MSFC22CA005_8000_-NONE-_-NONE-,still_terminated,low,2026-07-30,"Terminated for convenience (F P00032 2025-09-30); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00032 2025-09-30;term_mod=P00032;term_date=2025-09-30;post_n=0;post_obl=0.00;post_pos=0;n=33,P00032,2025-09-30,P00032,2025-09-30,0.00,33,,2026-07-30,2026-07-30,0,
80MSFC22F0153,CONT_AWD_80MSFC22F0153_8000_80MSFC20D0004_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00004 2025-04-08); no rescission, closeout, or new obligations in 1 later transactions.",term=M P00004 2025-04-08;term_mod=P00004;term_date=2025-04-08;post_n=1;post_obl=-24812.00;post_pos=0;n=6,P00004,2025-04-08,P00005,2025-09-25,-24812.00,6,,2026-07-30,2026-07-30,0,
80MSFC24CA008,CONT_AWD_80MSFC24CA008_8000_-NONE-_-NONE-,descoped,high,2026-07-30,Partial de-scope rather than full termination (M P00003 2025-01-23) per USAspending transactions.,term=M P00003 2025-01-23;term_mod=P00003;term_date=2025-01-23;post_n=8;post_obl=14479353.00;post_pos=6;n=12;descope=1,P00003,2025-01-23,P00011,2026-06-25,14479353.00,12,,2026-07-30,2026-07-30,0,
80MSFC24F0067,CONT_AWD_80MSFC24F0067_8000_80MSFC20D0004_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00002 2025-01-23); no rescission, closeout, or new obligations in 1 later transactions.",term=M P00002 2025-01-23;term_mod=P00002;term_date=2025-01-23;post_n=1;post_obl=-246619.51;post_pos=0;n=4,P00002,2025-01-23,P00003,2025-04-21,-246619.51,4,,2026-07-30,2026-07-30,0,
80NM0018F0566,CONT_AWD_80NM0018F0566_8000_80NM0018D0004_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00029 2026-05-01); no rescission, closeout, or new obligations in 0 later transactions.",term=M P00029 2026-05-01;term_mod=P00029;term_date=2026-05-01;post_n=0;post_obl=0.00;post_pos=0;n=30,P00029,2026-05-01,P00029,2026-05-01,0.00,30,,2026-07-30,2026-07-30,0,
80NM0018F0669,CONT_AWD_80NM0018F0669_8000_80NM0018D0004_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00007 2025-04-07); no rescission, closeout, or new obligations in 0 later transactions.",term=M P00007 2025-04-07;term_mod=P00007;term_date=2025-04-07;post_n=0;post_obl=0.00;post_pos=0;n=8,P00007,2025-04-07,P00007,2025-04-07,0.00,8,,2026-07-30,2026-07-30,0,
80NM0019F0075,CONT_AWD_80NM0019F0075_8000_80NM0018D0004_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00009 2026-06-17); no rescission, closeout, or new obligations in 0 later transactions.",term=M P00009 2026-06-17;term_mod=P00009;term_date=2026-06-17;post_n=0;post_obl=0.00;post_pos=0;n=10,P00009,2026-06-17,P00009,2026-06-17,0.00,10,,2026-07-30,2026-07-30,0,
80NM0022F0008,CONT_AWD_80NM0022F0008_8000_80NM0018D0004_8000,naturally_expired,low,2026-07-30,No termination action in 14 transactions; period of performance ended 2025-03-31.,term=none;end=2025-03-31;n=14,,,P00013,2025-06-10,,14,,2026-07-30,2026-07-30,0,
80NM0024F0047,CONT_AWD_80NM0024F0047_8000_80NM0018D0004_8000,still_terminated,low,2026-07-30,"Terminated for convenience (M P00004 2026-04-13); no rescission, closeout, or new obligations in 0 later transactions.",term=M P00004 2026-04-13;term_mod=P00004;term_date=2026-04-13;post_n=0;post_obl=0.00;post_pos=0;n=5,P00004,2026-04-13,P00004,2026-04-13,0.00,5,,2026-07-30,2026-07-30,0,
80NSSC19K0326,ASST_NON_80NSSC19K0326_080,vacated,high,2026-07-30,Termination (B P00019 2025-05-12) vacated/set aside per B P00020 2025-09-09 in USAspending transactions.,term=B P00019 2025-05-12;term_mod=P00019;term_date=2025-05-12;post_n=1;post_obl=0.00;post_pos=0;n=21;vacatur=B P00020 2025-09-09,P00019,2025-05-12,P00020,2025-09-09,0.00,21,,2026-07-30,2026-07-30,0,
80NSSC19K0748,ASST_NON_80NSSC19K0748_080,still_terminated,low,2026-07-30,"Terminated for convenience (B P00006 2025-05-14); no rescission, closeout, or new obligations in 0 later transactions.",term=B P00006 2025-05-14;term_mod=P00006;term_date=2025-05-14;post_n=0;post_obl=0.00;post_pos=0;n=7,P00006,2025-05-14,P00006,2025-05-14,0.00,7,,2026-07-30,2026-07-30,0,
80NSSC19K1666,ASST_NON_80NSSC19K1666_080,still_terminated,low,2026-07-30,"Terminated for convenience (D P00003 2025-08-05); no rescission, closeout, or new obligations in 0 later transactions.",term=D P00003 2025-08-05;term_mod=P00003;term_date=2025-08-05;post_n=0;post_obl=0.00;post_pos=0;n=4,P00003,2025-08-05,P00003,2025-08-05,0.00,4,,2026-07-30,2026-07-30,0,
80NSSC20K0737,ASST_NON_80NSSC20K0737_080,naturally_expired,low,2026-07-30,No termination action in 8 transactions; period of performance ended 2024-03-01.,term=none;end=2024-03-01;n=8,,,P00007,2025-01-23,,8,,2026-07-30,2026-07-30,0,
80NSSC20K1485,ASST_NON_80NSSC20K1485_080,naturally_expired,low,2026-07-30,No termination action in 6 transactions; period of performance ended 2025-05-13.,term=none;end=2025-05-13;n=6,,,P00005,2025-05-13,,6,,2026-07-30,2026-07-30,0,
80NSSC20P1795,CONT_AWD_80NSSC20P1795_8000_-NONE-_-NONE-,still_terminated,low,2026-07-30,"Terminated for convenience (F P00008 2025-04-08); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00008 2025-04-08;term_mod=P00008;term_date=2025-04-08;post_n=0;post_obl=0.00;post_pos=0;n=7,P00008,2025-04-08,P00008,2025-04-08,0.00,7,,2026-07-30,2026-07-30,0,
80NSSC21K0418,ASST_NON_80NSSC21K0418_080,naturally_expired,low,2026-07-30,No termination action in 8 transactions; period of performance ended 2024-12-31.,term=none;end=2024-12-31;n=8,,,P00007,2025-12-09,,8,,2026-07-30,2026-07-30,0,
80NSSC21K0446,ASST_NON_80NSSC21K0446_080,naturally_expired,low,2026-07-30,No termination action in 15 transactions; period of performance ended 2026-06-10.,term=none;end=2026-06-10;n=15,,,P00014,2026-06-10,,15,,2026-07-30,2026-07-30,0,
80NSSC21K0620,ASST_NON_80NSSC21K0620_080,naturally_expired,low,2026-07-30,No termination action in 6 transactions; period of performance ended 2025-02-27.,term=none;end=2025-02-27;n=6,,,P00005,2026-02-12,,6,,2026-07-30,2026-07-30,0,
80NSSC21K1069,ASST_NON_80NSSC21K1069_080,still_terminated,low,2026-07-30,"Terminated for convenience (B P00004 2025-06-20); no rescission, closeout, or new obligations in 1 later transactions.",term=B P00004 2025-06-20;term_mod=P00004;term_date=2025-06-20;post_n=1;post_obl=-0.04;post_pos=0;n=6,P00004,2025-06-20,P00005,2026-06-16,-0.04,6,,2026-07-30,2026-07-30,0,
80NSSC21K1112,ASST_NON_80NSSC21K1112_080,naturally_expired,low,2026-07-30,No termination action in 9 transactions; period of performance ended 2025-03-10.,term=none;end=2025-03-10;n=9,,,P00008,2025-04-22,,9,,2026-07-30,2026-07-30,0,
80NSSC21K1248,ASST_NON_80NSSC21K1248_080,naturally_expired,low,2026-07-30,No termination action in 8 transactions; period of performance ended 2024-12-12.,term=none;end=2024-12-12;n=8,,,P00007,2025-12-01,,8,,2026-07-30,2026-07-30,0,
80NSSC21K1255,ASST_NON_80NSSC21K1255_080,naturally_expired,low,2026-07-30,No termination action in 7 transactions; period of performance ended 2024-08-27.,term=none;end=2024-08-27;n=7,,,P00006,2025-07-21,,7,,2026-07-30,2026-07-30,0,
80NSSC21K1267,ASST_NON_80NSSC21K1267_080,naturally_expired,low,2026-07-30,No termination action in 6 transactions; period of performance ended 2024-05-03.,term=none;end=2024-05-03;n=6,,,P00005,2025-04-01,,6,,2026-07-30,2026-07-30,0,
80NSSC21K1274,ASST_NON_80NSSC21K1274_080,naturally_expired,low,2026-07-30,No termination action in 6 transactions; period of performance ended 2024-05-07.,term=none;end=2024-05-07;n=6,,,P00005,2025-05-01,,6,,2026-07-30,2026-07-30,0,
80NSSC21K1278,ASST_NON_80NSSC21K1278_080,naturally_expired,low,2026-07-30,No termination action in 7 transactions; period of performance ended 2025-02-26.,term=none;end=2025-02-26;n=7,,,P00006,2026-02-12,,7,,2026-07-30,2026-07-30,0,
80NSSC21K1280,ASST_NON_80NSSC21K1280_080,naturally_expired,low,2026-07-30,No termination action in 7 transactions; period of performance ended 2024-08-30.,term=none;end=2024-08-30;n=7,,,P00006,2025-07-08,,7,,2026-07-30,2026-07-30,0,
80NSSC21K1281,ASST_NON_80NSSC21K1281_080,naturally_expired,low,2026-07-30,No termination action in 6 transactions; period of performance ended 2025-02-26.,term=none;end=2025-02-26;n=6,,,P00005,2026-02-12,,6,,2026-07-30,2026-07-30,0,
80NSSC21K1284,ASST_NON_80NSSC21K1284_080,naturally_expired,low,2026-07-30,No termination action in 6 transactions; period of performance ended 2024-04-28.,term=none;end=2024-04-28;n=6,,,P00005,2025-04-28,,6,,2026-07-30,2026-07-30,0,
80NSSC21K1288,ASST_NON_80NSSC21K1288_080,naturally_expired,low,2026-07-30,No termination action in 7 transactions; period of performance ended 2025-06-30.,term=none;end=2025-06-30;n=7,,,P00006,2025-08-12,,7,,2026-07-30,2026-07-30,0,
80NSSC21K1301,ASST_NON_80NSSC21K1301_080,naturally_expired,low,2026-07-30,No termination action in 8 transactions; period of performance ended 2024-09-30.,term=none;end=2024-09-30;n=8,,,P00007,2025-09-26,,8,,2026-07-30,2026-07-30,0,
80NSSC21K1443,ASST_NON_80NSSC21K1443_080,vacated,high,2026-07-30,Termination (B P00004 2025-05-12) vacated/set aside per B P00005 2026-02-05 in USAspending transactions.,term=B P00004 2025-05-12;term_mod=P00004;term_date=2025-05-12;post_n=2;post_obl=-15436.35;post_pos=0;n=7;vacatur=B P00005 2026-02-05,P00004,2025-05-12,P00006,2026-07-06,-15436.35,7,,2026-07-30,2026-07-30,0,
80NSSC21K1488,ASST_NON_80NSSC21K1488_080,naturally_expired,low,2026-07-30,No termination action in 6 transactions; period of performance ended 2025-06-17.,term=none;end=2025-06-17;n=6,,,P00005,2025-06-17,,6,,2026-07-30,2026-07-30,0,
80NSSC21K1667,ASST_NON_80NSSC21K1667_080,naturally_expired,low,2026-07-30,No termination action in 10 transactions; period of performance ended 2025-01-20.,term=none;end=2025-01-20;n=10,,,P00009,2025-12-19,,10,,2026-07-30,2026-07-30,0,
80NSSC21K1957,ASST_NON_80NSSC21K1957_080,reinstated,high,2026-07-30,Termination (B P00003 2025-04-04) rescinded per B P00004 2025-12-10 in USAspending transactions; award active again.,term=B P00003 2025-04-04;term_mod=P00003;term_date=2025-04-04;post_n=3;post_obl=0.00;post_pos=0;n=7;reversal=B P00004 2025-12-10,P00003,2025-04-04,P00006,2026-06-09,0.00,7,,2026-07-30,2026-07-30,0,
80NSSC21M0002,ASST_NON_80NSSC21M0002_080,vacated,high,2026-07-30,Termination (B P00010 2025-05-12) vacated/set aside per B P00011 2025-09-09 in USAspending transactions.,term=B P00010 2025-05-12;term_mod=P00010;term_date=2025-05-12;post_n=3;post_obl=230000.00;post_pos=1;n=14;vacatur=B P00011 2025-09-09,P00010,2025-05-12,P00013,2026-06-24,230000.00,14,,2026-07-30,2026-07-30,0,
80NSSC21M0003,ASST_NON_80NSSC21M0003_080,still_terminated,low,2026-07-30,"Terminated for convenience (D P00011 2025-08-27); no rescission, closeout, or new obligations in 0 later transactions.",term=D P00011 2025-08-27;term_mod=P00011;term_date=2025-08-27;post_n=0;post_obl=0.00;post_pos=0;n=12,P00011,2025-08-27,P00011,2025-08-27,0.00,12,,2026-07-30,2026-07-30,0,
80NSSC21M0005,ASST_NON_80NSSC21M0005_080,still_terminated,low,2026-07-30,"Terminated for convenience (D P00008 2025-07-22); no rescission, closeout, or new obligations in 0 later transactions.",term=D P00008 2025-07-22;term_mod=P00008;term_date=2025-07-22;post_n=0;post_obl=0.00;post_pos=0;n=9,P00008,2025-07-22,P00008,2025-07-22,0.00,9,,2026-07-30,2026-07-30,0,
80NSSC21P1879,CONT_AWD_80NSSC21P1879_8000_-NONE-_-NONE-,naturally_expired,low,2026-07-30,No termination action in 11 transactions; period of performance ended 2024-11-30.,term=none;end=2024-11-30;n=11,,,P00010,2025-07-18,,11,,2026-07-30,2026-07-30,0,
80NSSC22K0223,ASST_NON_80NSSC22K0223_080,still_terminated,low,2026-07-30,"Terminated for convenience (D P00006 2025-08-27); no rescission, closeout, or new obligations in 0 later transactions.",term=D P00006 2025-08-27;term_mod=P00006;term_date=2025-08-27;post_n=0;post_obl=0.00;post_pos=0;n=7,P00006,2025-08-27,P00006,2025-08-27,0.00,7,,2026-07-30,2026-07-30,0,
80NSSC22K0532,ASST_NON_80NSSC22K0532_080,naturally_expired,low,2026-07-30,No termination action in 5 transactions; period of performance ended 2024-01-25.,term=none;end=2024-01-25;n=5,,,P00004,2025-01-23,,5,,2026-07-30,2026-07-30,0,
80NSSC22K0668,ASST_NON_80NSSC22K0668_080,naturally_expired,low,2026-07-30,No termination action in 6 transactions; period of performance ended 2025-09-09.,term=none;end=2025-09-09;n=6,,,P00005,2025-09-09,,6,,2026-07-30,2026-07-30,0,
80NSSC22K0674,ASST_NON_80NSSC22K0674_080,naturally_expired,low,2026-07-30,No termination action in 4 transactions; period of performance ended 2025-05-15.,term=none;end=2025-05-15;n=4,,,P00003,2025-04-22,,4,,2026-07-30,2026-07-30,0,
80NSSC22K0999,ASST_NON_80NSSC22K0999_080,reinstated,high,2026-07-30,Termination (B P00006 2025-04-04) rescinded per B P00007 2025-12-10 in USAspending transactions; award active again.,term=B P00006 2025-04-04;term_mod=P00006;term_date=2025-04-04;post_n=2;post_obl=196298.00;post_pos=1;n=9;reversal=B P00007 2025-12-10,P00006,2025-04-04,P00008,2026-04-30,196298.00,9,,2026-07-30,2026-07-30,0,
80NSSC22K1051,ASST_NON_80NSSC22K1051_080,naturally_expired,low,2026-07-30,No termination action in 5 transactions; period of performance ended 2025-04-04.,term=none;end=2025-04-04;n=5,,,P00004,2026-03-18,,5,,2026-07-30,2026-07-30,0,
80NSSC22K1174,ASST_NON_80NSSC22K1174_080,naturally_expired,low,2026-07-30,No termination action in 5 transactions; period of performance ended 2025-08-28.,term=none;end=2025-08-28;n=5,,,P00004,2026-07-13,,5,,2026-07-30,2026-07-30,0,
80NSSC22K1186,ASST_NON_80NSSC22K1186_080,naturally_expired,low,2026-07-30,No termination action in 5 transactions; period of performance ended 2025-05-08.,term=none;end=2025-05-08;n=5,,,P00004,2026-04-30,,5,,2026-07-30,2026-07-30,0,
80NSSC22K1191,ASST_NON_80NSSC22K1191_080,naturally_expired,low,2026-07-30,No termination action in 5 transactions; period of performance ended 2025-08-28.,term=none;end=2025-08-28;n=5,,,P00004,2026-07-13,,5,closed_out,2026-07-30,2026-07-30,0,
