Source,Recipient Congressional District,Recipient Name,Award ID,Latest Modification Number,First Action Type,First Action Type Description,First Action Date,Latest Action Type,Latest Action Type Description,Latest Action Date,Action Code Termination Modification,Action Code Termination Date,Closeout Modification Number,Closeout Action Date,Start Date,Current End Date,End Date Basis,Initial Reported End Date,Current Obligated Amount,Total Outlays,Award or Action Description,Primary Detection Method,Detection Evidence,Recipient Business Categories,USAspending URL,Claimed By,DOGE Claimed Status,DOGE Claimed Savings,DOGE Claim Date
NASA Procurement Data View,CA-28,California Institute of Technology,80NM0018F0669,P00007,,,2018-07-27,M,OTHER ADMINISTRATIVE ACTION,2025-04-07,,,,,2018-10-01,2025-04-07,period_of_performance,2026-03-30,906320.78,624806.22,STOP WORK ORDER ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - GEOSTATIONARY CARBON CYCLE OBSERVATORY (GEOCARB) PRE-PHASE A AND PHASE A (87-700073) FOR SMD DIRECTORATE,description_keyword,,"category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, other_than_small_business, private_institution_of_higher_education, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NM0018F0669_8000_80NM0018D0004_8000/,,,,
NASA Procurement Data View,CA-28,California Institute of Technology,80NM0024F0047,P00004,,,2024-09-25,M,OTHER ADMINISTRATIVE ACTION,2026-04-13,P00003,2026-04-06,,,2024-09-09,2026-02-28,period_of_performance,2026-02-28,127003.61,51292.77,TERMINATION FOR CONVENIENCE AGREEMENT - ADVANCING VIETNAM'S MARINE SPATIAL PLANNING FOR OFFSHORE WIND ENERGY DEVELOPMENT (82-222737),description_keyword,,"category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, other_than_small_business, private_institution_of_higher_education, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NM0024F0047_8000_80NM0018D0004_8000/,,,,
NASA Procurement Data View,CA-28,California Institute of Technology,80NM0018F0566,P00029,,,2018-07-20,M,OTHER ADMINISTRATIVE ACTION,2026-05-01,P00028,2026-04-30,,,2018-10-01,2026-03-29,period_of_performance,2022-09-30,3743031.81,3255060.09,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - OFFICE OF CHIEF TECHNOLOGIST (OCT) STRATEGIC INTEGRATION FOR SMD DIRECTORATE,description_keyword,,"category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, other_than_small_business, private_institution_of_higher_education, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NM0018F0566_8000_80NM0018D0004_8000/,,,,
NASA Procurement Data View,CA-28,California Institute of Technology,80NM0019F0075,P00009,,,2019-08-02,M,OTHER ADMINISTRATIVE ACTION,2026-06-17,P00007,2025-06-25,,,2019-08-02,2025-04-02,period_of_performance,2024-08-02,1140711.53,960005.72,TERMINATION FOR CONVENIENCE AGREEMENT - MARS TO MOON ENGINEERING SUPPORT FOR XYZ DIRECTORATE,description_keyword,,"category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, other_than_small_business, private_institution_of_higher_education, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NM0019F0075_8000_80NM0018D0004_8000/,,,,
USAspending Terminations,CA-11,Capella Space Corporation,80HQTR23AA002,P00005,,,2023-04-07,N,LEGAL CONTRACT CANCELLATION,2025-03-11,,,,,2023-04-07,2025-03-11,idv_last_date_to_order,2028-04-06,0.00,,LEGAL CONTRACT CANCELLATION - NO LONGER REQUIRED COMMERCIAL SMALLEST DATA ACQUISITION (CSDA) PROGRAM - EARTH SCIENCES DIVISION,legal_contract_cancellation,Legal-contract-cancellation action P00005 on 2025-03-11,"category_business, corporate_entity_not_tax_exempt, manufacturer_of_goods, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_IDV_80HQTR23AA002_8000/,,,,
DOGE,MD-07,"Career Communications Group, Inc.",80NSSC24PB891,P00003,,,2024-08-01,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-16,P00003,2025-04-16,,,2024-09-01,2025-04-16,period_of_performance,2025-08-31,12500.00,12500.00,"Status: TERMINATED. Reported savings: $0. DOGE Action Date: 5/6/2025. Women of color in science, technology, engineering, and mathematics silver partnership and participation in their national convention",external_claim,TERMINATED,"black_american_owned_business, category_business, corporate_entity_not_tax_exempt, dot_certified_disadvantaged_business_enterprise, minority_owned_business, self_certified_small_disadvanted_business, small_business, special_designations, subchapter_s_corporation, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC24PB891_8000_-NONE-_-NONE-/,DOGE,TERMINATED,0.0,5/6/2025
USAspending Terminations,OH-11,Case Western Reserve University,80GRC024CA008,P00003,,,2023-10-17,M,OTHER ADMINISTRATIVE ACTION,2025-04-11,,,,,2023-11-01,2024-03-31,period_of_performance,2023-12-31,33269.00,33269.00,STOP WORK NOTICE ISSUED WITH NOTICE OF INTENT TO DE-SCOPE. CENTRIFUGAL ACCELERATION TESTING - NASA GRC IS PURSUING THE DEVELOPMENT OF DYNAMIC CONVERSION TECHNOLOGIES TO SUPPORT SCIENCE MISSION POWER SYSTEM DEVELOPMENT.,termination_language,Termination-language transaction P00002 on 2025-04-08,"category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, other_than_small_business, private_institution_of_higher_education, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80GRC024CA008_8000_-NONE-_-NONE-/,,,,
USAspending Terminations,DC-98,Catholic University of America (THE),80NSSC23K1058,P00005,A,NEW,2023-07-26,B,CONTINUATION,2025-11-26,,,P00003,2025-05-27,2024-01-01,2025-09-11,period_of_performance,2026-12-31,120698.84,120698.84,A STUDY OF OSCILLATIONS IN STELLAR AND SOLAR FLARES.,obligation_clawback,"Pure-clawback deobligation P00003 on 2025-05-27 (61% of $307,746)","category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, private_institution_of_higher_education",https://www.usaspending.gov/award/ASST_NON_80NSSC23K1058_080/,,,,
NASA Procurement Data View,NY-12,Chapsvision Americas Inc.,80NSSC25PA845,P00001,,,2025-04-02,X,TERMINATE FOR CAUSE,2025-04-08,P00001,2025-04-08,,,2025-04-01,2025-04-09,period_of_performance,2025-10-01,0.00,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - SINEQUA CUSTOMER SUCCESS ENGINEERS,description_keyword,,"category_business, corporate_entity_not_tax_exempt, foreign_owned, other_than_small_business, special_designations",https://www.usaspending.gov/award/CONT_AWD_80NSSC25PA845_8000_-NONE-_-NONE-/,,,,
DOGE,VA-11,"Chenega Global Protection, LLC",80HQTR23FA044,P00005,,,2023-06-05,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-02-27,P00005,2025-02-27,,,2023-06-20,2025-02-28,period_of_performance,2024-02-29,231345.20,231345.20,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 4/1/2025. NASA hq protective service- security police officer post- east lobby- earth information center (EIC) - termination for convenience agreement- earth information center (EIC) support for NASA office of protective services,external_claim,TERMINATED,"8a_program_participant, alaskan_native_corporation_owned_firm, category_business, limited_liability_corporation, minority_owned_business, native_american_owned_business, other_minority_owned_business, self_certified_small_disadvanted_business, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80HQTR23FA044_8000_80GSFC23DA004_8000/,DOGE,TERMINATED,0.0,4/1/2025
DOGE,OH-11,Cleveland State University,80NSSC22K1658,P00003,A,NEW,2022-09-21,B,CONTINUATION,2025-03-21,,,,,2023-01-01,2025-03-21,period_of_performance,2024-12-31,149765.00,134223.37,DOGE Action Date: 3/21/2025. Reported savings: $0.  improved monitoring and management of urban tree equity: integrating metrics of tree quality with tree cover - commercial satellite data analysis characterizing canopy chlorophyll and photosynthetic productivity for agricultural crops and forest monitoring support for smd/esd directorate ,external_claim,,"educational_institution, government, higher_education, national_government, public_institution_of_higher_education, regional_and_state_government",https://www.usaspending.gov/award/ASST_NON_80NSSC22K1658_080/,DOGE,,0.0,3/21/2025
DOGE,MD-03,Colossal Contracting LLC,80NSSC25FA078,P00001,,,2024-11-20,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-16,P00001,2025-04-16,,,2024-11-24,2025-04-16,period_of_performance,2025-11-23,16200.00,16200.00,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 5/6/2025. Prisma cloud security renewal,external_claim,TERMINATED,"category_business, corporate_entity_not_tax_exempt, limited_liability_corporation, self_certified_small_disadvanted_business, service_disabled_veteran_owned_business, small_business, special_designations, subchapter_s_corporation, us_owned_business, veteran_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC25FA078_8000_NNG15SD72B_8000/,DOGE,TERMINATED,0.0,5/6/2025
NASA Procurement Data View,MD-03,Cornell Technical Services LLC,80LARC25F7011,P00003,,,2024-11-19,M,OTHER ADMINISTRATIVE ACTION,2025-04-08,,,,,2024-11-19,2025-07-31,period_of_performance,2025-07-31,780306.00,690426.26,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - 2025 ASTROPHYSICS DIVISION SENIOR REVIEW,description_keyword,,"category_business, limited_liability_corporation, partnership_or_limited_liability_partnership, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80LARC25F7011_8000_80LARC20D0007_8000/,,,,
USAspending Terminations,MD-03,Cornell Technical Services LLC,80LARC21F0083,P00007,,,2021-03-17,B,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,2025-08-04,,,,,2021-03-17,2025-04-18,period_of_performance,2022-03-31,115865.00,114570.06,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - SOMA VAULT ADMINISTRATION,termination_language,Termination-language transaction P00006 on 2025-04-08,"category_business, limited_liability_corporation, partnership_or_limited_liability_partnership, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80LARC21F0083_8000_80LARC20D0007_8000/,,,,
USAspending Terminations,MD-03,Cornell Technical Services LLC,80LARC21F0153,P00007,,,2021-09-10,B,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,2025-09-22,,,,,2021-09-10,2025-04-18,period_of_performance,2025-08-31,316380.00,313302.24,"STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - MARS EXPLORATION PROGRAM (MEP) ASSESSMENT FOR MANAGEMENT, PLANNING, TECHNICAL, SCIENTIFIC, RISK, COST, AND SCHEDULE SUPPORT",termination_language,Termination-language transaction P00006 on 2025-04-08,"category_business, limited_liability_corporation, partnership_or_limited_liability_partnership, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80LARC21F0153_8000_80LARC20D0007_8000/,,,,
DOGE,NY-19,Cornell University,80NSSC24K1193,P00002,A,NEW,2024-07-30,D,ADJUSTMENT TO COMPLETED PROJECT,2025-09-25,,,P00002,2025-09-25,2024-07-01,2025-03-21,period_of_performance,2027-06-30,95267.75,95267.75,"DOGE Action Date: 3/21/2025. Reported savings: $389,598.00. Basic research: an innovative workshop on equity, diversity, inclusion, and accessibility for leaders in planetary science",external_claim,,"category_business, corporate_entity_tax_exempt, educational_institution, higher_education, manufacturer_of_goods, nonprofit, other_than_small_business, private_institution_of_higher_education, public_institution_of_higher_education, veterinary_college",https://www.usaspending.gov/award/ASST_NON_80NSSC24K1193_080/,DOGE,,389598.0,3/21/2025
DOGE,DC-08,"Costar Realty Information, Inc.",80NSSC24PB717,P00002,,,2024-07-12,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-08,P00002,2025-04-08,,,2024-07-12,2025-04-08,period_of_performance,2025-07-12,49050.00,49050.00,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 5/6/2025. Web search portals and all other information services: costar,external_claim,TERMINATED,"category_business, corporate_entity_not_tax_exempt, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC24PB717_8000_-NONE-_-NONE-/,DOGE,TERMINATED,0.0,5/6/2025
DOGE,VA-08,Creative Solutions International Coporation,80NSSC23FA279,P00003,,,2023-03-07,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-02-20,P00003,2025-02-20,,,2023-03-07,2025-02-20,period_of_performance,2024-03-06,138793.75,108446.41,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 2/18/2025. Consulting and meeting facilitation in support of ocio transformation initiatives,external_claim,TERMINATED,"category_business, corporate_entity_not_tax_exempt, self_certified_small_disadvanted_business, small_business, special_designations, us_owned_business, woman_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC23FA279_8000_GS10F0331M_4730/,DOGE,TERMINATED,0.0,2/18/2025
DOGE,VA-08,"Crown Innovations, Inc.",80HQTR24FA038,P00002,,,2024-06-06,M,OTHER ADMINISTRATIVE ACTION,2025-03-20,,,,,2024-06-06,2025-03-20,period_of_performance,2025-06-09,136646.85,75915.14,Status: Expired. Reported savings: $0. DOGE Action Date: 2/18/2025. Technical support for armd's office of the associate administrator,external_claim,Expired,"category_business, corporate_entity_not_tax_exempt, minority_owned_business, self_certified_small_disadvanted_business, small_business, special_designations, subchapter_s_corporation, subcontinent_asian_indian_american_owned_business, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80HQTR24FA038_8000_80HQTR24AA006_8000/,DOGE,Expired,0.0,2/18/2025
NASA Procurement Data View,NY-12,"Datadog, Inc.",80NSSC24PB139,P00002,,,2024-06-05,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-08,P00002,2025-04-08,,,2024-06-01,2025-04-08,period_of_performance,2025-10-31,0.00,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - DATADOG SUBSCRIPTION,description_keyword,,"category_business, corporate_entity_not_tax_exempt, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC24PB139_8000_-NONE-_-NONE-/,,,,
DOGE,VA-08,Deloitte Consulting LLP,80HQTR23FA018,P00002,,,2023-02-08,B,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,2025-02-07,,,,,2023-02-08,2025-07-31,period_of_performance,2024-02-07,659225.96,644337.82,Status: Expired. Reported savings: $0. DOGE Action Date: 3/20/2025. Conducting evidence and evaluation activities for the space technology mission directorate in order to meet the requirements of the evidence act (p.l. 115-435).,external_claim,Expired,"category_business, other_than_small_business, partnership_or_limited_liability_partnership, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80HQTR23FA018_8000_80HQTR22AA005_8000/,DOGE,Expired,0.0,3/20/2025
USAspending Terminations,VA-08,Deloitte Consulting LLP,80NSSC24AA011,P00004,,,2024-01-30,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-03-13,P00004,2025-03-13,,,2024-01-29,2024-01-29,idv_last_date_to_order,2029-07-15,0.00,,TERMINATION FOR CONVENIENCE AGREEMENT - CHANGE MANAGEMENT SUPPORT SERVICE BPAS FOR NASA ADMINISTRATIVE SUITE.,termination_action_code,Terminate-for-convenience action P00004 on 2025-03-13,"category_business, other_than_small_business, partnership_or_limited_liability_partnership, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_IDV_80NSSC24AA011_8000/,,,,
DOGE,VA-08,Deloitte Consulting LLP,80HQTR25FA019,P00001,,,2025-02-11,C,FUNDING ONLY ACTION,2026-06-25,,,,,2025-02-11,2025-08-11,period_of_performance,2025-08-11,90488.46,90488.46,"Status: Expired. Reported savings: $0. DOGE Action Date: 3/20/2025. The technical work performed directly enables NASA to submit the annual president's budget request & congressional justification, required by the following laws: budget & accounting act (p.l. 67-13), budget impoundment & control act (p.l. 93-344). the task ends 8/11/2025 because the work will be complete.",external_claim,Expired,"category_business, other_than_small_business, partnership_or_limited_liability_partnership, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80HQTR25FA019_8000_80HQTR22AA005_8000/,DOGE,Expired,0.0,3/20/2025
USAspending Terminations,WA-02,Devglobal Partners LLC,80NSSC26P0502,P00001,,,2026-04-17,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-07-08,P00001,2026-07-08,,,2026-04-27,2026-11-01,period_of_performance,2026-11-01,0.00,0.00,FACILITATION AND LOGISTICAL COORDINATION OF THE 2026 SMD DATA REPOSITORIES WORKSHOP,termination_action_code,Terminate-for-convenience action P00001 on 2026-07-08,"category_business, limited_liability_corporation, self_certified_small_disadvanted_business, small_business, sole_proprietorship, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC26P0502_8000_-NONE-_-NONE-/,,,,
DOGE,MD-06,"Diversified Services Group, Inc.",80NSSC22PA482,P00006,,,2022-04-08,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-08,P00006,2025-04-08,,,2022-07-01,2025-04-09,period_of_performance,2023-06-30,46982.62,46982.54,"Status: TERMINATED. Reported savings: $38,577.84. DOGE Action Date: 4/14/2025. Live plant maintenance services",external_claim,TERMINATED,"black_american_owned_business, category_business, corporate_entity_not_tax_exempt, dot_certified_disadvantaged_business_enterprise, economically_disadvantaged_women_owned_small_business, minority_owned_business, self_certified_small_disadvanted_business, small_business, special_designations, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC22PA482_8000_-NONE-_-NONE-/,DOGE,TERMINATED,38577.84,4/14/2025
USAspending Terminations,PA-03,Drexel University,80NSSC24K0482,P00004,A,NEW,2024-02-02,B,CONTINUATION,2025-09-12,,,P00003,2025-05-23,2023-11-30,2026-11-29,period_of_performance,2026-11-29,150000.00,127836.00,22-ASTRO22-0070 INVESTIGATING CHAOS AND COMPLEXITY IN THE ACCRETION MODES OF STELLAR AND SUPERMASSIVE BLACK HOLES,obligation_clawback,"Pure-clawback deobligation P00003 on 2025-05-23 (25% of $200,000)","category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, private_institution_of_higher_education",https://www.usaspending.gov/award/ASST_NON_80NSSC24K0482_080/,,,,
DOGE,TX-26,"Eli Group, LLC",80NSSC24PA590,P00001,,,2024-02-22,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-01-31,P00001,2025-01-31,,,2024-06-12,2025-03-06,period_of_performance,2025-03-06,27500.00,27500.00,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 2/18/2025. Eli group leadership lab for women,external_claim,TERMINATED,"category_business, corporate_entity_not_tax_exempt, limited_liability_corporation, self_certified_small_disadvanted_business, small_business, special_designations, us_owned_business, woman_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC24PA590_8000_-NONE-_-NONE-/,DOGE,TERMINATED,0.0,2/18/2025
DOGE,TX-26,"Eli Group, LLC",80NSSC24PC331,P00001,,,2024-09-05,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-02-19,P00001,2025-02-19,,,2025-02-19,2025-02-19,period_of_performance,2025-11-13,27500.00,27500.00,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 2/18/2025. The exclusive leadership lab for women provides senior-level women with a development program designed to enhance leadership influence and behavior change to help them succeed within your organization.,external_claim,TERMINATED,"category_business, corporate_entity_not_tax_exempt, limited_liability_corporation, self_certified_small_disadvanted_business, small_business, special_designations, us_owned_business, woman_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC24PC331_8000_-NONE-_-NONE-/,DOGE,TERMINATED,0.0,2/18/2025
DOGE,GA-05,Emory University,80NSSC25K7032,P00003,A,NEW,2024-11-01,D,ADJUSTMENT TO COMPLETED PROJECT,2025-09-25,,,P00003,2025-09-25,2024-10-04,2025-05-10,period_of_performance,2027-10-03,72879.91,72879.91,DOGE Action Date: 5/14/2025. Reported savings: $0.  basic research grant: advancing environmental justice in atlanta through geographic information system-enabled community engagement ,external_claim,,"category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, other_than_small_business, private_institution_of_higher_education, special_designations, us_owned_business",https://www.usaspending.gov/award/ASST_NON_80NSSC25K7032_080/,DOGE,,0.0,5/14/2025
DOGE,MD-08,"Emp Consultants, LLC",80NSSC24PA710,P00001,,,2024-03-20,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-03-17,P00001,2025-03-17,,,2024-05-01,2025-04-30,period_of_performance,2025-04-30,45960.00,45960.00,"Status: TERMINATED. Reported savings: $45,960.00. DOGE Action Date: 3/20/2025. This order is for novice software and support maintenance.",external_claim,TERMINATED,"category_business, corporate_entity_not_tax_exempt, limited_liability_corporation, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC24PA710_8000_-NONE-_-NONE-/,DOGE,TERMINATED,45960.0,3/20/2025
USAspending Terminations,PA-04,Fed Crew Inc,80NSSC25PB602,P00003,,,2025-08-04,M,OTHER ADMINISTRATIVE ACTION,2026-03-23,P00002,2026-02-23,,,2025-08-04,2025-09-25,period_of_performance,2025-09-25,0.00,0.00,SPHERICAL HEA ALLOY POWDER,termination_action_code,Terminate-for-convenience action P00002 on 2026-02-23,"category_business, corporate_entity_not_tax_exempt, minority_owned_business, self_certified_small_disadvanted_business, small_business, special_designations, subcontinent_asian_indian_american_owned_business, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC25PB602_8000_-NONE-_-NONE-/,,,,
NASA Procurement Data View,CA-47,"Flawless Photonics, Inc.",80JSC022CA012,P00008,,,2022-08-25,M,OTHER ADMINISTRATIVE ACTION,2025-04-08,,,,,2022-08-25,2025-11-15,period_of_performance,2025-11-15,2315075.00,2315075.00,TERMINATION NOTICE ISSUED: IN SPACE PRODUCTION APPLICATIONS (INSPA) - FABRICATION OF FLAWLESSPREFORMS IN MICROGRAVITY FOR OA DIRECTORATE,description_keyword,,"category_business, corporate_entity_not_tax_exempt, manufacturer_of_goods, self_certified_small_disadvanted_business, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80JSC022CA012_8000_-NONE-_-NONE-/,,,,
DOGE,FL-08,"Florida First Robotics Education Foundation, Inc",80NSSC23PB058,P00002,,,2023-05-15,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-08,P00002,2025-04-08,,,2023-05-15,2025-04-08,period_of_performance,2026-05-20,40200.00,40200.00,"Status: TERMINATED. Reported savings: $60,300.00. DOGE Action Date: 4/14/2025. Sponsorship of the first orlando regional",external_claim,TERMINATED,"category_business, corporate_entity_tax_exempt, foundation, nonprofit, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC23PB058_8000_-NONE-_-NONE-/,DOGE,TERMINATED,60300.0,4/14/2025
USAspending Terminations,FL-02,Florida State University,80NSSC23K0466,P00001,A,NEW,2023-05-01,D,ADJUSTMENT TO COMPLETED PROJECT,2025-03-04,,,P00001,2025-03-04,2023-04-01,2026-03-31,period_of_performance,2026-03-31,15006.21,15006.21,22-ADAP22-0155  CONFRONTING CMB FOREGROUND MODELS WITH PLANCK DATA,obligation_clawback,"Pure-clawback deobligation P00001 on 2025-03-04 (91% of $161,839)","educational_institution, higher_education, minority_owned_business, nonprofit, other_minority_owned_business, public_institution_of_higher_education",https://www.usaspending.gov/award/ASST_NON_80NSSC23K0466_080/,,,,
USAspending Terminations,FL-02,Florida State University,80NSSC23K0600,P00001,A,NEW,2023-04-13,D,ADJUSTMENT TO COMPLETED PROJECT,2026-02-02,,,P00001,2026-02-02,2023-02-07,2026-02-15,period_of_performance,2025-02-06,0.00,0.00,SINGLE SOURCE  RODENT RESEARCH STANDARD HOUSING MISSION: MULTIDISCIPLINARY APPROACH TO UNDERSTANDING SPACEFLIGHT RESPONSES,obligation_clawback,"Pure-clawback deobligation P00001 on 2026-02-02 (100% of $20,000)","educational_institution, higher_education, minority_owned_business, nonprofit, other_minority_owned_business, public_institution_of_higher_education",https://www.usaspending.gov/award/ASST_NON_80NSSC23K0600_080/,,,,
DOGE,VA-11,"Four Points Technology, LLC",80NSSC23F0002,P00001,,,2022-10-06,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-21,P00001,2025-04-21,,,2022-10-14,2025-04-21,period_of_performance,2025-10-14,19212.13,19212.13,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 5/6/2025. Securid authenticator tokens,external_claim,TERMINATED,"category_business, corporate_entity_not_tax_exempt, limited_liability_corporation, service_disabled_veteran_owned_business, small_business, special_designations, us_owned_business, veteran_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC23F0002_8000_NNG15SD22B_8000/,DOGE,TERMINATED,0.0,5/6/2025
DOGE,CT-04,"Gartner, Inc.",80NSSC24PB679,P00002,,,2024-07-08,M,OTHER ADMINISTRATIVE ACTION,2025-04-30,P00001,2025-03-06,,,2024-07-01,2025-12-31,period_of_performance,2025-06-30,194382.00,194382.00,"Status: TERMINATED. Reported savings: $194,382.00. DOGE Action Date: 3/20/2025. NASA human capital gartner learning & development services",external_claim,TERMINATED,"category_business, corporate_entity_not_tax_exempt, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC24PB679_8000_-NONE-_-NONE-/,DOGE,TERMINATED,194382.0,3/20/2025
USAspending Terminations,CA-30,"Geooptics, Inc.",80HQTR23AA001,P00006,,,2022-11-14,N,LEGAL CONTRACT CANCELLATION,2025-03-11,,,,,2022-11-14,2025-03-11,idv_last_date_to_order,2027-11-13,0.00,,LEGAL CONTRACT CANCELLATION - NO LONGER REQUIRED COMMERCIAL SMALLSAT DATA ACQUISITION (CSDA) PROGRAM - EARTH SCIENCES DIVISION,legal_contract_cancellation,Legal-contract-cancellation action P00006 on 2025-03-11,"category_business, corporate_entity_not_tax_exempt, small_business, special_designations, us_owned_business, veteran_owned_business",https://www.usaspending.gov/award/CONT_IDV_80HQTR23AA001_8000/,,,,
DOGE,VA-11,George Mason University,80NSSC24K0892,P00002,A,NEW,2024-08-05,D,ADJUSTMENT TO COMPLETED PROJECT,2025-08-14,,,P00002,2025-08-14,2024-03-29,,,2027-03-28,0.00,0.00,DOGE Action Date: 3/21/2025. Reported savings: $0.  disparities in health and safety effects of dust storms in the united states - interdisciplinary research in earth sciences support for science mission directorate (SMD/ESD) ,external_claim,,"category_business, educational_institution, government, higher_education, minority_serving_institution_of_higher_education, national_government, other_than_small_business, public_institution_of_higher_education, regional_and_state_government",https://www.usaspending.gov/award/ASST_NON_80NSSC24K0892_080/,DOGE,,0.0,3/21/2025
USAspending Terminations,GA-05,Georgia Tech Research Corp,80NSSC23K1549,P00004,A,NEW,2023-09-13,D,ADJUSTMENT TO COMPLETED PROJECT,2026-07-30,,,P00004,2026-07-30,2023-08-21,2026-08-30,period_of_performance,,192000.00,168951.84,DEVELOPMENT OF HIGH TEMPERATURE SEALS BY INCORPORATING BORON NITRIDE-BASED FILLERS INTO PERFLUORINATED ELASTOMERS,obligation_clawback,"Pure-clawback deobligation P00004 on 2026-07-30 (25% of $256,000)","category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, public_institution_of_higher_education",https://www.usaspending.gov/award/ASST_NON_80NSSC23K1549_080/,,,,
